Country,Gender,Localized Name
AD,F,Martina
AD,F,Emma
AD,F,Jana
AD,F,Lucia
AD,M,Iker
AD,M,Leo
AD,M,Biel
AD,M,Dylan
AD,M,Jordi
AD,M,Marc
AE,F,Mariam
AE,F,Sara
AE,F,Sarah
AE,F,Fatima
AE,F,Fatma
AE,F,Ayesha
AE,F,Noor
AE,M,Mohammad
AE,M,Ali
AE,M,Omar
AE,M,Ahmad
AE,M,Ahmed
AE,M,Abdulla
AE,M,Abdullah
AL,F,Amelia
AL,F,Ajla
AL,F,Aria
AL,F,Amelja
AL,F,Leandra
AL,F,Ambra
AL,F,Klea
AL,F,Melisa
AL,F,Amaris
AL,F,Reina
AL,M,Noel
AL,M,Aron
AL,M,Joel
AL,M,Roan
AL,M,Amar
AL,M,Mateo
AL,M,Alteo
AL,M,Roel
AL,M,Luis
AL,M,Dion
AM,F,Anahit
AM,F,Gayane
AM,F,Anna
AM,F,Karine
AM,F,Hasmik
AM,F,Lusine
AM,F,Susanna
AM,F,Armine
AM,F,Narine
AM,F,Lilit
AM,M,Armen
AM,M,Artur
AM,M,Karen
AM,M,Samvel
AM,M,Gevorg
AM,M,Ashot
AM,M,Davit
AM,M,Arman
AM,M,Hovhannes
AM,M,Gagik
AM,F,Nare
AM,F,Maria
AM,F,Arpi
AM,F,Maneh
AM,F,Angelina
AM,F,Mari
AM,F,Eva
AM,F,Mariam
AM,F,Anahit
AM,F,Sofi
AM,M,Davit
AM,M,Narek
AM,M,Monte
AM,M,Tigran
AM,M,Areg
AM,M,Hayk
AM,M,Mark
AM,M,Mikayel
AM,M,Aleks
AM,M,Areni
AR,F,Emma
AR,F,Olivia
AR,F,Martina
AR,F,Isabella
AR,F,Alma
AR,F,Catalina
AR,F,Mia
AR,F,Victoria
AR,F,Delfina
AR,M,Mateo
AR,M,Bautista
AR,M,Juan
AR,M,Felipe
AR,M,Bruno
AR,M,Noah
AR,M,Benicio
AR,M,Thiago
AR,M,Ciro
AR,M,Liam
AT,F,Marie
AT,F,Emilia
AT,F,Anna
AT,F,Emma
AT,F,Lena
AT,F,Mia
AT,F,Laura
AT,F,Valentina
AT,F,Hannah
AT,F,Lea
AT,M,Paul
AT,M,Jakob
AT,M,Maximilian
AT,M,Elias
AT,M,David
AT,M,Felix
AT,M,Leon
AT,M,Tobias
AT,M,Jonas
AT,M,Noah
AT,F,Sophia
AT,F,Emilia
AT,F,Sara
AT,F,Hannah
AT,F,Mia
AT,F,Emma
AT,F,Anna
AT,F,Sophie
AT,F,Laura
AT,F,Elena
AT,M,Mateo
AT,M,Luka
AT,M,Theodor
AT,M,Elias
AT,M,Noah
AT,M,Felix
AT,M,Mohammad
AT,M,Alexander
AT,M,Adam
AT,M,David
AU,F,Charlotte
AU,F,Amelia
AU,F,Isla
AU,F,Olivia
AU,F,Mia
AU,F,Ava
AU,F,Matilda
AU,F,Ella
AU,F,Grace
AU,F,Willow
AU,M,Oliver
AU,M,Noah
AU,M,Leo
AU,M,William
AU,M,Henry
AU,M,Jack
AU,M,Theodore
AU,M,Hudson
AU,M,Charlie
AU,M,Luca
AW,F,Alysha
AW,F,Isabella
AW,F,Isabelle
AW,F,Emily
AW,F,Emely
AW,M,Daniel
AW,M,Dylan
AW,M,Dyllan
AW,M,Kevin
AW,M,Keven
AZ,M,Ali
AZ,M,Elchin
AZ,M,Vugar
AZ,M,Anar
AZ,M,Elnur
AZ,M,Samir
AZ,M,Elshan
AZ,M,Rashad
AZ,M,Ilgar
AZ,M,Vusal
AZ,F,Zahra
AZ,F,Aylin
AZ,F,Zeynab
AZ,F,Maryam
AZ,F,Fatima
AZ,F,Nilay
AZ,F,Malak
AZ,F,Ayla
AZ,F,Nuray
AZ,M,Ali
AZ,M,Huseyn
AZ,M,Yusif
AZ,M,Mahammad
AZ,M,Raul
AZ,M,Omar
AZ,M,Murad
AZ,M,Adam
AZ,M,Tunar
AZ,F,Sevinj
AZ,F,Gunel
AZ,F,Leyla
AZ,F,Aygun
AZ,F,Gunay
AZ,F,Sevda
AZ,F,Vusala
AZ,F,Konul
AZ,F,Aysel
AZ,F,Tarana
BA,F,Sara
BA,F,Merjem
BA,F,Asja
BA,F,Esma
BA,F,Amina
BA,F,Ema
BA,F,Hana
BA,F,Lejla
BA,F,Lamija
BA,F,Dalila
BA,M,Davud
BA,M,Ahmed
BA,M,Hamza
BA,M,Amar
BA,M,Adin
BA,M,Daris
BA,M,Eman
BA,M,Harun
BA,M,Ali
BD,M,Mohammed
BD,M,Mohammad
BD,M,Abdul
BD,M,Muhammad
BD,M,Abdullah
BD,M,Ahmed
BD,M,Syed
BD,M,Kazi
BD,M,Sheikh
BD,M,Hasan
BE,F,Olivia
BE,F,Emma
BE,F,Louise
BE,F,Mila
BE,F,Alice
BE,F,Camille
BE,F,Lina
BE,F,Sofia
BE,F,Ella
BE,F,Juliette
BE,M,Arthur
BE,M,Noah
BE,M,Louis
BE,M,Liam
BE,M,Jules
BE,M,Adam
BE,M,Lucas
BE,M,Gabriel
BE,M,Victor
BE,M,Oscar
BO,F,Martha
BO,F,Roxana
BO,F,Elizabeth
BO,F,Sonia
BO,F,Juana
BO,F,Patricia
BO,F,Lidia
BO,F,Rosmery
BO,F,Carmen
BO,M,Juan
BO,M,Mario
BO,M,David
BO,M,Ferndo
BO,M,Jorge
BR,F,Maria
BR,F,Ana
BR,F,Francisca
BR,F,Adriana
BR,F,Juliana
BR,F,Marcia
BR,F,Fernanda
BR,F,Aline
BR,M,Francisco
BR,M,Carlos
BR,M,Paulo
BR,M,Pedro
BR,M,Lucas
BR,M,Luiz
BR,M,Marcos
BR,F,Helena
BR,F,Alice
BR,F,Laura
BR,F,Sophia
BR,F,Manuela
BR,F,Liz
BR,F,Isabella
BR,M,Miguel
BR,M,Arthur
BR,M,Gael
BR,M,Heitor
BR,M,Ravi
BR,M,Davi
BR,M,Berrdo
BR,M,Noah
BR,M,Gabriel
BY,F,Alisa
BY,F,Hanna
BY,F,Maryja
BY,F,Safija
BY,M,Maksim
BY,M,Mark
BY,M,Michail
CA,F,Olivia
CA,F,Emma
CA,F,Charlotte
CA,F,Amelia
CA,F,Ava
CA,F,Sophia
CA,F,Chloe
CA,F,Mia
CA,F,Mila
CA,F,Isla
CA,F,Alice
CA,M,Noah
CA,M,Liam
CA,M,William
CA,M,Leo
CA,M,Benjamin
CA,M,Theodore
CA,M,Jack
CA,M,Thomas
CA,M,Logan
CA,M,Oliver
CA,F,Emma
CA,F,Olivia
CA,F,Charlotte
CA,F,Charlie
CA,F,Florence
CA,F,Alice
CA,F,Livia
CA,F,Rose
CA,F,Juliette
CA,M,Noah
CA,M,William
CA,M,Liam
CA,M,Thomas
CA,M,Leo
CA,M,Jacob
CA,M,Arthur
CA,M,Louis
CA,M,Nathan
CH,F,Mia
CH,F,Emma
CH,F,Elena
CH,F,Lina
CH,F,Mila
CH,F,Emilia
CH,F,Sofia
CH,F,Olivia
CH,F,Nora
CH,F,Alina
CH,M,Noah
CH,M,Liam
CH,M,Matteo
CH,M,Luca
CH,M,Gabriel
CH,M,Leon
CH,M,Elias
CH,M,Louis
CH,M,Lio
CH,M,Nino
CL,F,Emma
CL,F,Isabella
CL,F,Emilia
CL,F,Julieta
CL,F,Trinidad
CL,F,Isidora
CL,F,Agustina
CL,F,Josefa
CL,F,Mia
CL,M,Mateo
CL,M,Gaspar
CL,M,Santiago
CL,M,Lucas
CL,M,Liam
CL,M,Vicente
CL,M,Maximiliano
CO,F,Antonella
CO,F,Isabella
CO,F,Luciana
CO,F,Celeste
CO,F,Victoria
CO,F,Gabriela
CO,F,Mariana
CO,F,Julieta
CO,F,Guadalupe
CO,M,Emiliano
CO,M,Samuel
CO,M,Thiago
CO,M,Emmanuel
CO,M,Maximiliano
CO,M,Isaac
CO,M,Santiago
CZ,F,Anna
CZ,F,Tereza
CZ,F,Sofie
CZ,F,Viktorie
CZ,F,Ema
CZ,F,Julie
CZ,M,Jakub
CZ,M,Jan
CZ,M,Adam
CZ,M,Filip
CZ,M,Martin
DE,F,Emilia
DE,F,Mia
DE,F,Sophia
DE,F,Emma
DE,F,Hannah
DE,F,Lina
DE,F,Mila
DE,F,Ella
DE,F,Leni
DE,F,Clara
DE,M,Noah
DE,M,Matteo
DE,M,Elias
DE,M,Finn
DE,M,Leon
DE,M,Theo
DE,M,Paul
DE,M,Emil
DE,M,Henry
DE,M,Ben
DK,F,Ella
DK,F,Alma
DK,F,Nora
DK,F,Ida
DK,F,Freja
DK,F,Sofia
DK,F,Luna
DK,F,Olivia
DK,F,Agnes
DK,F,Asta
DK,F,Clara
DK,F,Emma
DK,F,Frida
DK,F,Alberte
DK,M,William
DK,M,Oscar
DK,M,Carl
DK,M,Malthe
DK,M,Emil
DK,M,Valdemar
DK,M,Noah
DK,M,Aksel
DK,M,August
DK,M,Theo
DZ,M,Omar
DZ,M,Abdelkader
DZ,M,Ahmed
DZ,M,Mohammed
DZ,M,Ali
DZ,M,Rachid
DZ,M,Said
DZ,M,Brahim
DZ,M,Omar
DZ,M,Djamel
DZ,F,Imene
DZ,F,Sara
DZ,F,Yasmine
DZ,F,Lyna
